condition,condition_label,n_participants,n_trials,mean_verify_rate,mean_accept_rate,mean_final_accuracy_rate,mean_overreliance_rate,mean_underreliance_rate,mean_decision_time_sec,mean_trust_score,mean_nasa_tlx_raw,mean_manipulation_uncertainty,mean_manipulation_certainty
C1,No hedge + Text,18,540,0.37777777777777777,0.7055555555555555,0.8611111111111112,0.07222222222222223,0.06666666666666667,12.289355555555554,3.8657407407407405,3.259259259259259,2.7222222222222223,5.611111111111111
C2,Hedge + Text,18,540,0.4351851851851852,0.6981481481481482,0.8648148148148148,0.06666666666666667,0.06851851851851852,13.631372222222222,3.763888888888889,3.3333333333333335,4.833333333333333,3.9444444444444446
C3,No hedge + Speech,18,540,0.30185185185185187,0.6962962962962963,0.825925925925926,0.08518518518518518,0.08888888888888889,8.463216666666666,3.6666666666666665,3.25,2.2777777777777777,5.888888888888889
C4,Hedge + Speech,18,540,0.2722222222222222,0.674074074074074,0.8037037037037037,0.08518518518518518,0.1111111111111111,8.00782962962963,3.263888888888889,3.2314814814814814,3.9444444444444446,4.055555555555555
